1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/1/29,2016/7/6,437768438.3,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/3/17,2016/8/1,1393914145,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/3/24,2016/7/4,623545136.7,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/4/7,2016/9/23,451534847.8,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/4/8,2016/9/28,496434791.7,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/4/8,2016/9/23,457542243,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/4/11,2016/9/8,514874566,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作沈阳分行1号专项资产管理计划,一对一,2016/4/12,2016/9/9,2080935191,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作上海分行1号专项资产管理计划,一对一,2015/7/3,2022/7/4,250000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息（截止季度末日），提前还本
1,民生银行民生加银资管同业合作厦门分行1号专项资产管理计划,一对一,2015/9/23,2019/9/23,600000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息（季度末月15日、算头不算尾），到期一次性还款
1,民生银行民生加银资管同业合作厦门分行1号专项资产管理计划,一对一,2016/1/22,2019/3/22,68990000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作泉州分行1号专项资产管理计划,一对一,2015/12/9,2016/10/9,40000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息，到期还本
